date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,RADL3,RADL3,11.429110105580692,11.515837104072398,11.276395173453997,11.430995475113123,11.430995475113123,1651538,60.62,61.08,59.81,60.63,0.1885369532428356,61.08,59.81,0,311376,2043,18806756.25,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,1476,104,89019.25,consolidated_010_020
2017-01-03,RADL3,RADL3,11.451734539969834,11.92873303167421,11.451734539969834,11.8684012066365,11.8684012066365,5400448,60.74,63.27,60.74,62.95,0.1885369532428356,63.27,60.74,0,1018184,6170,63425628.21,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,2284,122,142350.21,consolidated_010_020
2017-01-04,RADL3,RADL3,11.84577677224736,11.864630467571644,11.611990950226245,11.700603318250378,11.700603318250378,3728940,62.83,62.93,61.59,62.06,0.1885369532428356,62.93,61.59,0,703043,3985,43707325.02,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,2043,94,127088.02,consolidated_010_020
2017-01-05,RADL3,RADL3,11.78921568627451,11.79864253393665,11.513951734539969,11.52526395173454,11.52526395173454,5167979,62.53,62.58,61.07,61.13,0.1885369532428356,62.58,61.07,0,974355,5608,59738600.98,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,2155,140,132531.98,consolidated_010_020
2017-01-06,RADL3,RADL3,11.587481146304675,11.587481146304675,11.185897435897436,11.549773755656108,11.549773755656108,6868701,61.46,61.46,59.33,61.26,0.1885369532428356,61.46,59.33,0,1295004,6560,77958627.12,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,2704,193,162929.12,consolidated_010_020
2017-01-09,RADL3,RADL3,11.544117647058822,11.691176470588236,11.415912518853695,11.530920060331825,11.530920060331825,4201367,61.23,62.01,60.55,61.16,0.1885369532428356,62.01,60.55,0,792113,5659,48565566.87,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,1713,85,105108.87,consolidated_010_020
2017-01-10,RADL3,RADL3,11.585595776772248,11.649698340874812,11.315987933634993,11.319758672699848,11.319758672699848,3479954,61.45,61.79,60.02,60.04,0.1885369532428356,61.79,60.02,0,656100,3732,39500466.41,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,1600,86,96785.41,consolidated_010_020
2017-01-11,RADL3,RADL3,11.453619909502262,11.574283559577678,11.32918552036199,11.49132730015083,11.49132730015083,4531462,60.75,61.39,60.09,60.95,0.1885369532428356,61.39,60.09,0,854348,4488,51896872.52,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,2048,84,124500.52,consolidated_010_020
2017-01-12,RADL3,RADL3,11.87971342383107,12.01734539969834,11.689291101055806,11.825037707390647,11.825037707390647,6730235,63.01,63.74,62.0,62.72,0.1885369532428356,63.74,62.0,0,1268898,8994,79732929.5,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,3098,147,194694.5,consolidated_010_020
2017-01-13,RADL3,RADL3,11.774132730015083,11.83446455505279,11.659125188536954,11.83446455505279,11.83446455505279,3208867,62.45,62.77,61.84,62.77,0.1885369532428356,62.77,61.84,0,604990,4563,37697170.2,1,02,010,BRRADLACNOR0,121,ON      NM,RAIADROGASIL,1190,137,74287.2,consolidated_010_020
